iter	Logloss
0	0.6254892323
1	0.5765776355
2	0.5338862103
3	0.5088827858
4	0.4914767895
5	0.4755540619
6	0.4626965042
7	0.4518288102
8	0.4395649872
9	0.4309962445
10	0.424844401
11	0.416410823
12	0.412125064
13	0.4061054374
14	0.4002141694
15	0.3965734054
16	0.393950724
17	0.3911489928
18	0.3878943642
19	0.3856303258
20	0.3840627331
21	0.3814069082
22	0.3736293999
23	0.3689595024
24	0.3664523563
25	0.3641601132
26	0.3620127387
27	0.360249745
28	0.3585790148
29	0.3565381625
30	0.3543675656
31	0.353134916
32	0.3515955433
33	0.3502996338
34	0.3489923616
35	0.3474766071
36	0.3461606303
37	0.344094451
38	0.3429872836
39	0.3420752405
40	0.3404200901
41	0.3389691096
42	0.3375899949
43	0.3366356739
44	0.334715877
45	0.3339722079
46	0.331860041
47	0.3309889114
48	0.329787561
49	0.3290723586
50	0.3278266586
51	0.3261282672
52	0.3254681664
53	0.3245226851
54	0.3236412697
55	0.3224339687
56	0.3208499709
57	0.3203163858
58	0.3194187209
59	0.3174833307
60	0.3170544291
61	0.3158467959
62	0.3151052666
63	0.3145196756
64	0.3136460432
65	0.3128069156
66	0.3121574864
67	0.3106231958
68	0.309782513
69	0.3083557967
70	0.3073672612
71	0.306802536
72	0.3059244813
73	0.3045185546
74	0.3033305718
75	0.3024757882
76	0.3016465657
77	0.3010004885
78	0.300409277
79	0.2993943867
80	0.2985190719
81	0.2978398712
82	0.2972872714
83	0.2963069443
84	0.2953699158
85	0.2943763656
86	0.2937794656
87	0.2930725049
88	0.2922698076
89	0.2910578205
90	0.2904036645
91	0.2895278631
92	0.2887695075
93	0.2880611728
94	0.2872186646
95	0.2865429495
96	0.2858344606
97	0.2852769767
98	0.2844933062
99	0.2837670795
100	0.282928094
101	0.2822500479
102	0.2810696396
103	0.2805380378
104	0.2795779325
105	0.2788891144
106	0.2778797456
107	0.2773140648
108	0.2764912537
109	0.2755153664
110	0.2745659229
111	0.2737496836
112	0.27291203
113	0.2723616524
114	0.2718691305
115	0.271355942
116	0.2709604586
117	0.2704885543
118	0.2697965307
119	0.2691400612
120	0.2687039446
121	0.2680027897
122	0.2673295157
123	0.2668354222
124	0.2662159205
125	0.2656928001
126	0.2652319931
127	0.2648404112
128	0.2640155004
129	0.2637594844
130	0.2631894883
131	0.2627669476
132	0.2623461324
133	0.261542023
134	0.2609442056
135	0.2602611063
136	0.2596461831
137	0.259086605
138	0.2584786045
139	0.2579082946
140	0.2569185665
141	0.256333074
142	0.2556686445
143	0.2551938718
144	0.2546989675
145	0.2539681436
146	0.2533422381
147	0.2529747737
148	0.2523069248
149	0.2520275573
150	0.2514524705
151	0.2507271068
152	0.250045011
153	0.2495046045
154	0.2491116691
155	0.2485959224
156	0.2483169774
157	0.2473125597
158	0.2468880369
159	0.246376792
160	0.2458330178
161	0.2451957905
162	0.2447249665
163	0.2443353852
164	0.2437418077
165	0.2431488874
166	0.2428990298
167	0.24233126
168	0.241967217
169	0.2417373289
170	0.241461114
171	0.2411597687
172	0.2409024797
173	0.2404348359
174	0.2401694164
175	0.239500996
176	0.2388001842
177	0.2382974384
178	0.2378387361
179	0.2372285245
180	0.236636704
181	0.2361011535
182	0.2357020272
183	0.235259734
184	0.2349196614
185	0.2346383537
186	0.2342078286
187	0.2336821953
188	0.2332626018
189	0.2330244021
190	0.232520115
191	0.2317392681
192	0.2312588903
193	0.2310280076
194	0.2307674757
195	0.2305157596
196	0.2302417697
197	0.2300053784
198	0.229392996
199	0.2291926217
200	0.2289338096
201	0.2284656341
202	0.2280576363
203	0.2275889339
204	0.2272126491
205	0.226971157
206	0.2266176241
207	0.2263513507
208	0.2260596812
209	0.2257832537
210	0.2251833588
211	0.2248771669
212	0.2242670304
213	0.2235954397
214	0.2231427461
215	0.2223798275
216	0.2220531753
217	0.2217286187
218	0.2210858336
219	0.2208317524
220	0.2203154318
221	0.220064796
222	0.2197364743
223	0.2192043012
224	0.218915676
225	0.2186565212
226	0.2180013619
227	0.2175983913
228	0.2172937202
229	0.2170421389
230	0.2168129477
231	0.2162362624
232	0.2159829223
233	0.2150198083
234	0.2145751849
235	0.2141573688
236	0.2139415297
237	0.2136450297
238	0.213387431
239	0.2131508034
240	0.2125590039
241	0.2122762026
242	0.2120080316
243	0.2118098609
244	0.2112898372
245	0.2110980507
246	0.2107898302
247	0.2104608579
248	0.2102369684
249	0.2097810611
250	0.2091436655
251	0.2090044094
252	0.2084613573
253	0.2080176807
254	0.2076753844
255	0.2075167983
256	0.2072207488
257	0.2069311624
258	0.2066115067
259	0.2063272211
260	0.2060743484
261	0.2058780736
262	0.2055173017
263	0.2052301755
264	0.2050244315
265	0.2048153279
266	0.2045461715
267	0.2042365421
268	0.2038031723
269	0.2033130885
270	0.2031607972
271	0.2028695284
272	0.2023660207
273	0.2020498976
274	0.2016982176
275	0.2015020805
276	0.2012087048
277	0.2008391855
278	0.2003904656
279	0.2000794831
280	0.1998889708
281	0.1994748262
282	0.1991807331
283	0.1988155775
284	0.1984011187
285	0.1981518135
286	0.1978492786
287	0.197479123
288	0.1971628821
289	0.1968501416
290	0.1965870785
291	0.1964456753
292	0.1963402519
293	0.1960654132
294	0.1957384756
295	0.1955167615
296	0.1952089298
297	0.1948488354
298	0.1945794911
299	0.1943832865
